Judul,Konten,Source,Tanggal,Kategori,Konten_pisah
"Bertambah 6 Orang, Kasus Covid-19 di DIY Tembus 159","YOGYAKARTA – Daerah Istimewa Yogyakarta (DIY) mencatat penambahan enam kasus pasien positif Covid-19 pada Senin (11/5/2020) hari ini. Secara keseluruhan, jumlah kasus bertambah menjadi total 159 kasus. Juru Bicara Gugus Penanganan Covid-19 DIY, Berty Murtiningsih mengungkap dari total 159 kasus, 61 di antaranya dinyatakan sembuh setelah mendapat dua hasil negatif. Tujuh pasien positif meninggal dunia setelah mendapat perawatan.  “91 saat ini masih menjalani perawatan isolasi di rumah sakit rujukan Covid DIY. Rata-rata kondisi pasien ini ringan-sedang,” ungkap Berty, menukil dari laman KRjogja. Terkait Pasien Dalam Perawatan (PDP) DIY saat ini berjumlah 1.114 orang di mana 190 di antaranya masih menjalani perawatan. “Sisanya menjalani rawat jalan dan sudah selesai menjalani perawatan,” tuturnya. Sedangkan jumlah Orang Dalam Pemantauan (ODP) juga mengalami kenaikan menyentuh angka lima ribu yakni 5.547. Sementara 148 orang lainnya masih menanti hasil laboratorium swab di mana 11 di antaranya meninggal dunia.           (put)",Okezone,Senin 11 Mei 2020 23:31 WIB,Yogya,"YOGYAKARTA – Daerah Istimewa Yogyakarta (DIY) mencatat penambahan enam kasus pasien positif Covid-19 pada Senin (11/5/2020) hari ini.||Secara keseluruhan, jumlah kasus bertambah menjadi total 159 kasus.||Juru Bicara Gugus Penanganan Covid-19 DIY, Berty Murtiningsih mengungkap dari total 159 kasus, 61 di antaranya dinyatakan sembuh setelah mendapat dua hasil negatif.||Tujuh pasien positif meninggal dunia setelah mendapat perawatan.||“91 saat ini masih menjalani perawatan isolasi di rumah sakit rujukan Covid DIY.||Rata-rata kondisi pasien ini ringan-sedang,” ungkap Berty, menukil dari laman KRjogja.||Terkait Pasien Dalam Perawatan (PDP) DIY saat ini berjumlah 1.114 orang di mana 190 di antaranya masih menjalani perawatan.||“Sisanya menjalani rawat jalan dan sudah selesai menjalani perawatan,” tuturnya.||Sedangkan jumlah Orang Dalam Pemantauan (ODP) juga mengalami kenaikan menyentuh angka lima ribu yakni 5.547.||Sementara 148 orang lainnya masih menanti hasil laboratorium swab di mana 11 di antaranya meninggal dunia.||(put)"
"Pasien Corona di Wonogiri yang Sembuh Terus Bertambah, Total 6 Orang","WONOGIRI – Pasien positif terpapar corona virus disease (covid-19) di Kabupaten Wonogiri, Jawa Tengah, yang dinyatakan sembuh terus bertambah. Tercatat hingga Minggu 10 Mei, sekira pukul 21.00 WIB, pasien sembuh di sana bertambah 1, sehingga total menjadi 6 orang. Mengutip dari Solopos, Senin (11/5/2020), sementara kasus positif covid-19 tidak bertambah. Kemudian kasus yang masih dirawat menyisakan 3 orang. Lalu 1 kasus meninggal dunia.  Dari data yang dibagikan Pemerintah Kabupaten Wonogiri, orang dalam pemantauan (ODP) ada 699 orang. Rinciannya 157 orang sedang dipantau dan 542 selesai dipantau. Sedangkan pasien dalam pengawasan (PDP) tidak bertambah yakni tetap 47 orang. Adapun rinciannya 3 dirawat, 43 sembuh, dan 1 meninggal.  Sementara itu kasus pandemi corona di Wonogiri ternyata berdampak ke berbagai lini, salah satunya banyaknya karyawan yang dirumahkan. Total karyawan di Wonogiri yang dirumahkan hampir mencapai 2.000 orang. Berdasar data yang dihimpun dari Kantor Dinas Tenaga Kerja Wonogiri, Sabtu 9 Mei 2020, awalnya tercatat ada 84 karyawan dirumahkan dan 19 di-PHK atau total 103 pekerja. Kepala Disnaker Wonogiri Ristanti mengatakan karyawan yang dirumahkan tidak mendapat gaji, sedangkan yang di-PHK menerima pesangon. Karyawan yang dirumahkan mayoritas dari perusahaan otobus (PO). Perusahaan mengambil kebijakan tersebut karena armada tidak dioperasikan menyusul adanya larangan mudik. Perusahaan menetapkan kebijakan tersebut hingga batas waktu yang belum ditentukan. ""Tempat usaha yang merumahkan dan mem-PHK karyawan rata-rata tempat usaha berskala menengah dan kecil. Perusahaan besar tidak melakukannya, tetapi memilih cara lain, seperti meliburkan karyawan dengan tetap menggaji mereka,"" jelasnya saat dikonfirmasi Solopos.           (han)",Okezone,Senin 11 Mei 2020 15:03 WIB,Jateng,"WONOGIRI – Pasien positif terpapar corona virus disease (covid-19) di Kabupaten Wonogiri, Jawa Tengah, yang dinyatakan sembuh terus bertambah.||Tercatat hingga Minggu 10 Mei, sekira pukul 21.00 WIB, pasien sembuh di sana bertambah 1, sehingga total menjadi 6 orang.||Mengutip dari Solopos, Senin (11/5/2020), sementara kasus positif covid-19 tidak bertambah.||Kemudian kasus yang masih dirawat menyisakan 3 orang.||Lalu 1 kasus meninggal dunia.||Dari data yang dibagikan Pemerintah Kabupaten Wonogiri, orang dalam pemantauan (ODP) ada 699 orang.||Rinciannya 157 orang sedang dipantau dan 542 selesai dipantau.||Sedangkan pasien dalam pengawasan (PDP) tidak bertambah yakni tetap 47 orang.||Adapun rinciannya 3 dirawat, 43 sembuh, dan 1 meninggal.||Sementara itu kasus pandemi corona di Wonogiri ternyata berdampak ke berbagai lini, salah satunya banyaknya karyawan yang dirumahkan.||Total karyawan di Wonogiri yang dirumahkan hampir mencapai 2.000 orang.||Berdasar data yang dihimpun dari Kantor Dinas Tenaga Kerja Wonogiri, Sabtu 9 Mei 2020, awalnya tercatat ada 84 karyawan dirumahkan dan 19 di-PHK atau total 103 pekerja.||Kepala Disnaker Wonogiri Ristanti mengatakan karyawan yang dirumahkan tidak mendapat gaji, sedangkan yang di-PHK menerima pesangon.||Karyawan yang dirumahkan mayoritas dari perusahaan otobus (PO).||Perusahaan mengambil kebijakan tersebut karena armada tidak dioperasikan menyusul adanya larangan mudik.||Perusahaan menetapkan kebijakan tersebut hingga batas waktu yang belum ditentukan.||""Tempat usaha yang merumahkan dan mem-PHK karyawan rata-rata tempat usaha berskala menengah dan kecil.||Perusahaan besar tidak melakukannya, tetapi memilih cara lain, seperti meliburkan karyawan dengan tetap menggaji mereka,"" jelasnya saat dikonfirmasi Solopos.||(han)"
"Gempa Guncang Dompu NTB, Pusatnya di Laut","JAKARTA - Gempa berkekuatan magnitudo 4,3 mengguncang Kabupaten Dompu, Nusa Tenggara Barat (NTB), Senin (11/5/2020) sekira pukul 22.23 WIB. Pusat gempa dilaporkan berada di laut berjarak 24 kilometer arah barat daya Dompu. Badan Meteorologi, Klimatologi, dan Geofisika (BMKG) dalam laman resminya melaporkan, lokasi gempa berada di koordinat 8,73 Lintang Selatan-118,37 Bujur Timur. Titik gempa berada di kedalaman 97 kilometer.  Getaran gempa dilaporkan turut dirasakan juga di Bima dengan skala III MMI. Belum diketahui apakah ada korban ataupun kerusakan akibat gempa tersebut. (sal)",Okezone,Senin 11 Mei 2020 23:48 WIB,Nusantara,"JAKARTA - Gempa berkekuatan magnitudo 4,3 mengguncang Kabupaten Dompu, Nusa Tenggara Barat (NTB), Senin (11/5/2020) sekira pukul 22.23 WIB.||Pusat gempa dilaporkan berada di laut berjarak 24 kilometer arah barat daya Dompu.||Badan Meteorologi, Klimatologi, dan Geofisika (BMKG) dalam laman resminya melaporkan, lokasi gempa berada di koordinat 8,73 Lintang Selatan-118,37 Bujur Timur.||Titik gempa berada di kedalaman 97 kilometer.||Getaran gempa dilaporkan turut dirasakan juga di Bima dengan skala III MMI.||Belum diketahui apakah ada korban ataupun kerusakan akibat gempa tersebut.||(sal)"
"Suara Dentuman di Jateng Masih Misterius, BMKG Minta Masyarakat Tetap Tenang  ","SOLO - Fenomena suara dentuman keras yang terdengar masyarakat di beberapa daerah seperti Sragen, Solo, Klaten, Solo termasuk Yogyakarta mendapatkan tanggapan dari Kepala Badan Meteorologi, Klimatologi, dan Geofisika (BMKG) Yogyakarta Warjono. Menurut Warjono,dari hasil monitoring yang dilakukan oleh BMKG Jawa Tengah Stasiun Geofisika Banjarnegara, maupun BMKG DIY Stasiun Geofisika Sleman Yogyakarta, suara dentuman tersebut tidak terkait dengan aktifitas seismik (gempa tektonik). Baik yang dipicu oleh aktifitas sesar lokal (baribis kendheng) maupun aktifitas zona subduksi selatan jawa.  ""Jika melihat data meteorologis, sebagian besar awan hujan lebih terkonsentrasi di utara dan pesisir selatan jawa, hal ini konsisten dengan distribusi sambaran petir pada tanggal 10-11 mei 2020, jam 23.00 WIB sampai dengan 05.00 WIB. Di mana sebagian besar terkonsentrasi pada wilayah utara, barat laut, barat, barat daya, selatan dan tenggara Jawa Tengah,"" kata Warjono kepada Okezone, Senin (11/5/2020). Sehingga, ungkap Warjono, kecil kemungkinan suara dentuman tersebut dipicu oleh aktifitas sambaran petir, dikarenakan tidak adanya aktifitas sambaran petir di lokasi terdampak pada rentang waktu tersebut. Namun demikian, tambah Warjono, mengingat luasnya daerah yang merasakan dentuman tersebut, maka perlu kajian lebih lanjut terkait penyebab pastinya. Baca juga: BMKG: Bunyi Dentuman di Jateng Bukan Bersumber dari Gempa ""Karena banyak faktor bisa menjadi penyebabnya. Beberapa sumber yang bisa memicu, antara lain sonic boom (shock waves/gelombang kejut) dari pesawat jet ketika melebihi kecepatan suara maupun aktifitas vulkanik,"" ucapnya. BMKG meminta pada masyarakat agar tetap tenang dan tidak terpengaruh isu yang tak dapat dipertanggungjawabkan kebenarannya. ""Pastikan informasi resmi hanya bersumber dari BMKG yang disebarkan melalui kanal komunikasi resmi yang telah terverifikasi,"" pungkasnya. Sebelumnya, masyarakat yang tinggal di lereng Gunung Merapi dikejutkan dengan terdengarnya suara dentuman cukup keras menjelang waktu sahur. Meski tak mengetahui dari mana asal suara tersebut berasal, namun banyak yang mengira suara keras dentuman tersebut berasal dari Gunung Merapi. Namun hal itu dibantah oleh pihak BPBD Klaten. Melalui salah satu staf Pusdalops BPBD Klaten Arif, saat ini kondisi Gunung Merapi terpantau tenang dan tidak ada gejolak apapun. Sehingga kabar bila dentuman berasal dari Gunung Merapi yang bergejolak itu adalah kebohongan belaka.           (qlh)",Okezone,Senin 11 Mei 2020 16:18 WIB,Jateng,"SOLO - Fenomena suara dentuman keras yang terdengar masyarakat di beberapa daerah seperti Sragen, Solo, Klaten, Solo termasuk Yogyakarta mendapatkan tanggapan dari Kepala Badan Meteorologi, Klimatologi, dan Geofisika (BMKG) Yogyakarta Warjono.||Menurut Warjono,dari hasil monitoring yang dilakukan oleh BMKG Jawa Tengah Stasiun Geofisika Banjarnegara, maupun BMKG DIY Stasiun Geofisika Sleman Yogyakarta, suara dentuman tersebut tidak terkait dengan aktifitas seismik (gempa tektonik).||Baik yang dipicu oleh aktifitas sesar lokal (baribis kendheng) maupun aktifitas zona subduksi selatan jawa.||""Jika melihat data meteorologis, sebagian besar awan hujan lebih terkonsentrasi di utara dan pesisir selatan jawa, hal ini konsisten dengan distribusi sambaran petir pada tanggal 10-11 mei 2020, jam 23.00 WIB sampai dengan 05.00 WIB.||Di mana sebagian besar terkonsentrasi pada wilayah utara, barat laut, barat, barat daya, selatan dan tenggara Jawa Tengah,"" kata Warjono kepada Okezone, Senin (11/5/2020).||Sehingga, ungkap Warjono, kecil kemungkinan suara dentuman tersebut dipicu oleh aktifitas sambaran petir, dikarenakan tidak adanya aktifitas sambaran petir di lokasi terdampak pada rentang waktu tersebut.||Namun demikian, tambah Warjono, mengingat luasnya daerah yang merasakan dentuman tersebut, maka perlu kajian lebih lanjut terkait penyebab pastinya.||Baca juga: BMKG: Bunyi Dentuman di Jateng Bukan Bersumber dari Gempa ""Karena banyak faktor bisa menjadi penyebabnya.||Beberapa sumber yang bisa memicu, antara lain sonic boom (shock waves/gelombang kejut) dari pesawat jet ketika melebihi kecepatan suara maupun aktifitas vulkanik,"" ucapnya.||BMKG meminta pada masyarakat agar tetap tenang dan tidak terpengaruh isu yang tak dapat dipertanggungjawabkan kebenarannya.||""Pastikan informasi resmi hanya bersumber dari BMKG yang disebarkan melalui kanal komunikasi resmi yang telah terverifikasi,"" pungkasnya.||Sebelumnya, masyarakat yang tinggal di lereng Gunung Merapi dikejutkan dengan terdengarnya suara dentuman cukup keras menjelang waktu sahur.||Meski tak mengetahui dari mana asal suara tersebut berasal, namun banyak yang mengira suara keras dentuman tersebut berasal dari Gunung Merapi.||Namun hal itu dibantah oleh pihak BPBD Klaten.||Melalui salah satu staf Pusdalops BPBD Klaten Arif, saat ini kondisi Gunung Merapi terpantau tenang dan tidak ada gejolak apapun.||Sehingga kabar bila dentuman berasal dari Gunung Merapi yang bergejolak itu adalah kebohongan belaka.||(qlh)"
Mengapa Kiamat Belum Terjadi? Ini Penjelasannya,"Oleh: Rakhmad Zailani Kiki Lega rasanya suara keras sebagai bagian tanda-tanda kiamat yang digembar-gemborkan oleh segelintir orang pada Jumat 15 Ramadhan 1441H-merujuk pada hadits yang keshahihannya diperselisihkan, bahkan Ibnu Jauzi menyatakan hadits ini palsu, tidak terjadi.  Peristiwa alam yang terjadi sejak dulu sampai sekarang memang kerap dikaitkan oleh sebagian orang dengan tanda-tanda akan terjadinya kiamat. Tanda-tanda ini bukanlah kiamat itu sendiri. Mengenai kapan waktu terjadinya kiamat, nyaris semua ulama sepakat tidak ada makhluk baik di bumi dan di langit yang mengetahuinya karena Allah SWT sudah menegaskan di dalam Alquran, Surat al-Araf ayat 187 yang artinya: “Mereka bertanya kepadamu tentang Kiamat, ‘Kapankah terjadinya?’ Katakanlah, ‘Sesungguhnya pengetahuan tentang Kiamat itu adalah pada sisi Rabb-ku; tidak seorang pun yang dapat menjelaskan waktu kedatangannya selain Dia. Kiamat itu amat berat (huru-haranya bagi makhluk) yang di langit dan di bumi. Kiamat itu tidak akan datang kepadamu melainkan dengan tiba-tiba.’ Mereka bertanya kepadamu seakan-akan kamu benar-benar mengetahuinya. Katakanlah, ‘Sesungguhnya pengetahuan tentang hari Kiamat itu adalah di sisi Allah, tetapi kebanyakan manusia tidak mengetahui.” Karenanya, sesuai dengan ayat  ini, maka ketika makhluk yang paling mulia dan paling Allah cintai, Nabi Muhammad SAW, ditanya tentang kapan terjadinya kiamat oleh pemimpin para malaikat, Jibril as., yang sedang menyamar sebagai manusia, ia hanya bisa menjawab: “Yang ditanya tidak lebih tahu daripada yang  bertanya!” (hadits shahih riwayat Imam Muslim no. 8). Semulianya Nabi Muhammadi SAW dan malaikat Jibril  saja tidak tahu tentang kapan terjadinya kiamat, apalagi makhuk atau manusia lainnya? Baca Juga: Tanda-Tanda Kiamat Suhra dan Kubra Hanya di mata hadits yang sama, setelah ditanya oleh malaikat Jibril as., Nabi Muhammad SAW menjelaskan tentang tanda-tanda akan terjadinya kiamat: “Jika seorang budak wanita telah melahirkan tuannya; jika engkau melihat orang yang bertelanjang kaki, tanpa memakai baju (miskin papa) serta pengembala kambing telah saling berlomba dalam mendirikan bangunan megah yang menjulang tinggi.” Apakah tanda-tanda akan terjadinya kiamat pada hadits di atas sudah terjadi? Jawabannya sudah terjadi. Mengapa belum juga terjadi kiamat? Karena masih ada tanda-tanda lainnya yang harus terjadi, dan sampai tulisan ini ada, tanda-tanda ini belum terjadi.  Rakhmad Zailani Kiki. Foto: dok.pribadi Seperti yang tercantum di dalam hadits dari Hudzaifah bin Asid Al Ghifari berkata, Rasulullah SAW menghampiri kami saat kami tengah membicarakan sesuatu. Ia bertanya, ‘Apa yang kalian bicarakan?’ Kami menjawab, ‘Kami membicarakan kiamat.’ Ia bersabda, ‘Kiamat tidaklah terjadi sehingga kalian melihat sepuluh tanda-tanda sebelumnya.’ Rasulullah menyebut kabut, Dajjal, binatang (ad-dābbah), terbitnya matahari dari barat, turunnya Isa bin Maryam AS, Ya'juj dan Ma'juj, tiga gerhana; gerhana di timur, gerhana di barat dan gerhana di jazirah Arab dan yang terakhir adalah api muncul dari Yaman menggiring manusia menuju tempat perkumpulan mereka,” (Abul Husain Muslim bin Hajjaj bin Muslim An-Naisaburi, Al-Jamius Ṣaḥīḥ, juz VIII, halaman 178). Tentang urutan terjadinya tanda-tanda kiamat dari hadits di atas,  ulama  berbeda pendapat. Namun yang pasti, dari hadits shahih itu maka sebagai tanda kunci dari tanda-tanda akan terjadinya kiamat, yaitu kemunculan Dajjal. Dajjal sendiri adalah sosok manusia yang sudah ada sejak lama, bahkan di zaman Rasulullah SAW sudah ada sahabat yang ketika belum masuk Islam bertemu dengan Dajjal di suatu pulau. Baca Juga: 10 Urutan Peristiwa Tanda Kiamat Jadi, seperti pendapat seorang ulama,  Muhammad Isa Dawud, bahwa Dajjal itu sudah ada, tapi saat ini belum muncul dan menunjukkan jati dirinya kepada seluruh manusia. Entah dia sedang bersembunyi di mana saat ini. Dajjal sendiri sudah memiliki takdir hidup dan matinya yang dinyatakan oleh Rasulullah SAW, di antaranya dalam hadits dari ‘Abdullah bin ‘Amr, dia berkata bahwa Rasulullah SAW bersabda, “Lalu Allah mengutus Isa bin Maryam seperti Urwah bin Mas’ud, ia mencari Dajjal dan membunuhnya. Setelah itu selama tujuh tahun, manusia tinggal dan tidak ada permusuhan di antara dua orang pun. Kemudian Allah mengirim angin sejuk dari arah Syam lalu tidak tersisa seorang yang dihatinya ada kebaikan atau keimanan seberat biji sawi pun yang tersisa kecuali mencabut nyawanya” (HR. Muslim no. 2940) Pertanyannya, apakah Dajjal tahu hadits ini, hadits tentang hidupnya yang tidak lama jika muncul di tengah-tengah manusia dan takdir kematiannya karena dibunuh oleh Nabi Isa? Tentu saja tahu, seperti Dajjal tahu tentang tanda-tanda kemunculnya di tengah-tengah manusia sebagai bagian dari tanda-tanda tejadinya kiamat, seperti danau Tiberias yang airnya habis dan tanda-tanda lainnya. Baca Juga: Alquran dan Sains, Bulan pada Hari Kiamat  Maka, sabda Rasulullah SAW tentang tanda-tanda akan terjadinya kiamat dari hadits yang dirawayat Hudzaifah bin Asid Al Ghifari untuk siapa? Apakah untuk manusia dan jin saja?  Jelas tidak! Sabda Rasulullah SAW ini juga untuk Dajjal.                                                        ",Okezone,Senin 11 Mei 2020 15:05 WIB,Tren,"Oleh: Rakhmad Zailani Kiki Lega rasanya suara keras sebagai bagian tanda-tanda kiamat yang digembar-gemborkan oleh segelintir orang pada Jumat 15 Ramadhan 1441H-merujuk pada hadits yang keshahihannya diperselisihkan, bahkan Ibnu Jauzi menyatakan hadits ini palsu, tidak terjadi.||Peristiwa alam yang terjadi sejak dulu sampai sekarang memang kerap dikaitkan oleh sebagian orang dengan tanda-tanda akan terjadinya kiamat.||Tanda-tanda ini bukanlah kiamat itu sendiri.||Mengenai kapan waktu terjadinya kiamat, nyaris semua ulama sepakat tidak ada makhluk baik di bumi dan di langit yang mengetahuinya karena Allah SWT sudah menegaskan di dalam Alquran, Surat al-Araf ayat 187 yang artinya: “Mereka bertanya kepadamu tentang Kiamat, ‘Kapankah terjadinya?’ Katakanlah, ‘Sesungguhnya pengetahuan tentang Kiamat itu adalah pada sisi Rabb-ku; tidak seorang pun yang dapat menjelaskan waktu kedatangannya selain Dia.||Kiamat itu amat berat (huru-haranya bagi makhluk) yang di langit dan di bumi.||Kiamat itu tidak akan datang kepadamu melainkan dengan tiba-tiba.’ Mereka bertanya kepadamu seakan-akan kamu benar-benar mengetahuinya.||Katakanlah, ‘Sesungguhnya pengetahuan tentang hari Kiamat itu adalah di sisi Allah, tetapi kebanyakan manusia tidak mengetahui.” Karenanya, sesuai dengan ayat  ini, maka ketika makhluk yang paling mulia dan paling Allah cintai, Nabi Muhammad SAW, ditanya tentang kapan terjadinya kiamat oleh pemimpin para malaikat, Jibril as., yang sedang menyamar sebagai manusia, ia hanya bisa menjawab: “Yang ditanya tidak lebih tahu daripada yang  bertanya!” (hadits shahih riwayat Imam Muslim no.||8).||Semulianya Nabi Muhammadi SAW dan malaikat Jibril  saja tidak tahu tentang kapan terjadinya kiamat, apalagi makhuk atau manusia lainnya?||Baca Juga: Tanda-Tanda Kiamat Suhra dan Kubra Hanya di mata hadits yang sama, setelah ditanya oleh malaikat Jibril as., Nabi Muhammad SAW menjelaskan tentang tanda-tanda akan terjadinya kiamat: “Jika seorang budak wanita telah melahirkan tuannya; jika engkau melihat orang yang bertelanjang kaki, tanpa memakai baju (miskin papa) serta pengembala kambing telah saling berlomba dalam mendirikan bangunan megah yang menjulang tinggi.” Apakah tanda-tanda akan terjadinya kiamat pada hadits di atas sudah terjadi?||Jawabannya sudah terjadi.||Mengapa belum juga terjadi kiamat?||Karena masih ada tanda-tanda lainnya yang harus terjadi, dan sampai tulisan ini ada, tanda-tanda ini belum terjadi.||Rakhmad Zailani Kiki.||Foto: dok.pribadi Seperti yang tercantum di dalam hadits dari Hudzaifah bin Asid Al Ghifari berkata, Rasulullah SAW menghampiri kami saat kami tengah membicarakan sesuatu.||Ia bertanya, ‘Apa yang kalian bicarakan?’ Kami menjawab, ‘Kami membicarakan kiamat.’ Ia bersabda, ‘Kiamat tidaklah terjadi sehingga kalian melihat sepuluh tanda-tanda sebelumnya.’ Rasulullah menyebut kabut, Dajjal, binatang (ad-dābbah), terbitnya matahari dari barat, turunnya Isa bin Maryam AS, Ya'juj dan Ma'juj, tiga gerhana; gerhana di timur, gerhana di barat dan gerhana di jazirah Arab dan yang terakhir adalah api muncul dari Yaman menggiring manusia menuju tempat perkumpulan mereka,” (Abul Husain Muslim bin Hajjaj bin Muslim An-Naisaburi, Al-Jamius Ṣaḥīḥ, juz VIII, halaman 178).||Tentang urutan terjadinya tanda-tanda kiamat dari hadits di atas,  ulama  berbeda pendapat.||Namun yang pasti, dari hadits shahih itu maka sebagai tanda kunci dari tanda-tanda akan terjadinya kiamat, yaitu kemunculan Dajjal.||Dajjal sendiri adalah sosok manusia yang sudah ada sejak lama, bahkan di zaman Rasulullah SAW sudah ada sahabat yang ketika belum masuk Islam bertemu dengan Dajjal di suatu pulau.||Baca Juga: 10 Urutan Peristiwa Tanda Kiamat Jadi, seperti pendapat seorang ulama,  Muhammad Isa Dawud, bahwa Dajjal itu sudah ada, tapi saat ini belum muncul dan menunjukkan jati dirinya kepada seluruh manusia.||Entah dia sedang bersembunyi di mana saat ini.||Dajjal sendiri sudah memiliki takdir hidup dan matinya yang dinyatakan oleh Rasulullah SAW, di antaranya dalam hadits dari ‘Abdullah bin ‘Amr, dia berkata bahwa Rasulullah SAW bersabda, “Lalu Allah mengutus Isa bin Maryam seperti Urwah bin Mas’ud, ia mencari Dajjal dan membunuhnya.||Setelah itu selama tujuh tahun, manusia tinggal dan tidak ada permusuhan di antara dua orang pun.||Kemudian Allah mengirim angin sejuk dari arah Syam lalu tidak tersisa seorang yang dihatinya ada kebaikan atau keimanan seberat biji sawi pun yang tersisa kecuali mencabut nyawanya” (HR.||Muslim no.||2940) Pertanyannya, apakah Dajjal tahu hadits ini, hadits tentang hidupnya yang tidak lama jika muncul di tengah-tengah manusia dan takdir kematiannya karena dibunuh oleh Nabi Isa?||Tentu saja tahu, seperti Dajjal tahu tentang tanda-tanda kemunculnya di tengah-tengah manusia sebagai bagian dari tanda-tanda tejadinya kiamat, seperti danau Tiberias yang airnya habis dan tanda-tanda lainnya.||Baca Juga: Alquran dan Sains, Bulan pada Hari Kiamat  Maka, sabda Rasulullah SAW tentang tanda-tanda akan terjadinya kiamat dari hadits yang dirawayat Hudzaifah bin Asid Al Ghifari untuk siapa?||Apakah untuk manusia dan jin saja?||Jelas tidak!||Sabda Rasulullah SAW ini juga untuk Dajjal."
"Sempat Sertijab di Mabes Polri, Mantan Kapolda Bengkulu Ternyata Positif Corona","BENGKULU – Mantan Kapolda Bengkulu Irjen Supratman dinyatakan positif terinfeksi virus corona atau Covid-19 berdasarkan hasil uji Laboratorium Kesehatan Palembang. Namun, Supratman sempat menghadiri upacara serah terima jabatan (sertijab) di Mabes Polri, Jakarta. Gubernur Bengkulu Rohidin Mersyah menyampaikan data 23 orang terpapar corona di daerahnya termasuk Supratman. Dia mendoakan agar jenderal bintang dua itu lekas sembuh.  'Beliau sekarang dalam kondisi sehat. Beliau tidak ada gejala apa pun, tapi beliau dengan disiplin melakukan isolasi dan penanganan dengan baik,'' kata Rohidin, Senin (11/5/2020). Sehari sebelum hasil uji swab diumumkan, Supratman menghadiri sertijab para perwira di Rupatama Mabes Polri, Jumat 8 Mei lalu. Supratman menerima jabatan baru sebagai Analis Kebijakan Utama Bidang Sespim Lemdiklat Polri dalam upacara sertijab yang dipimpin Kapolri Jenderal Idham Azis. Posisi Kapolda Bengkulu kini diisi Brigjen Teguh Sarwono. Usai sertijab, Supratman kembali ke Bengkulu melalui jalur darat dan langsung disiapkan ruang isolasi. Supratman diduga tertular corona setelah kontak dengan Kabid Dokkes Polda Bengkulu Kombes Diah. Dia diduga tertular dari siswa Sekolah Inspektur Polisi Sukabumi. Kemudian ada dua lagi di lingkungan Polda Bengkulu yang dilaporkan terkena corona, satu di antaranya adalah Kabid Humas Kombes Sudarno. Mereka sudah ditangani sesuai protokol Covid-19. (sal)",Okezone,Senin 11 Mei 2020 23:41 WIB,Nasional,"BENGKULU – Mantan Kapolda Bengkulu Irjen Supratman dinyatakan positif terinfeksi virus corona atau Covid-19 berdasarkan hasil uji Laboratorium Kesehatan Palembang.||Namun, Supratman sempat menghadiri upacara serah terima jabatan (sertijab) di Mabes Polri, Jakarta.||Gubernur Bengkulu Rohidin Mersyah menyampaikan data 23 orang terpapar corona di daerahnya termasuk Supratman.||Dia mendoakan agar jenderal bintang dua itu lekas sembuh.||'Beliau sekarang dalam kondisi sehat.||Beliau tidak ada gejala apa pun, tapi beliau dengan disiplin melakukan isolasi dan penanganan dengan baik,'' kata Rohidin, Senin (11/5/2020).||Sehari sebelum hasil uji swab diumumkan, Supratman menghadiri sertijab para perwira di Rupatama Mabes Polri, Jumat 8 Mei lalu.||Supratman menerima jabatan baru sebagai Analis Kebijakan Utama Bidang Sespim Lemdiklat Polri dalam upacara sertijab yang dipimpin Kapolri Jenderal Idham Azis.||Posisi Kapolda Bengkulu kini diisi Brigjen Teguh Sarwono.||Usai sertijab, Supratman kembali ke Bengkulu melalui jalur darat dan langsung disiapkan ruang isolasi.||Supratman diduga tertular corona setelah kontak dengan Kabid Dokkes Polda Bengkulu Kombes Diah.||Dia diduga tertular dari siswa Sekolah Inspektur Polisi Sukabumi.||Kemudian ada dua lagi di lingkungan Polda Bengkulu yang dilaporkan terkena corona, satu di antaranya adalah Kabid Humas Kombes Sudarno.||Mereka sudah ditangani sesuai protokol Covid-19.||(sal)"
